,Organism group,ID,Create date,Isolation type,Location,Isolation source,Laboratory typing platform,Testing standard
2651,escherichia_coli,ID_25580465,2022-10-17T15:18:23Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1372,escherichia_coli,ID_23867035,2022-06-22T17:58:14Z,clinical,USA: District of Columbia,other,Phoenix,CLSI
2303,escherichia_coli,ID_23887475,2022-06-23T00:49:09Z,clinical,USA: District of Columbia,wound,Phoenix,CLSI
846,escherichia_coli,ID_32328835,2024-02-07T14:04:02Z,clinical,USA:Boston,urine,Vitek,CLSI
2341,escherichia_coli,ID_23890045,2022-06-23T01:06:49Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1339,escherichia_coli,ID_23866355,2022-06-22T17:52:07Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1671,escherichia_coli,ID_23874605,2022-06-22T23:03:26Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2304,escherichia_coli,ID_23887465,2022-06-23T00:49:15Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1062,escherichia_coli,ID_23859405,2022-06-22T16:55:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
292,escherichia_coli,ID_25831715,2022-10-24T23:56:50Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
2797,escherichia_coli,ID_25785785,2022-10-21T15:27:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2077,escherichia_coli,ID_23882825,2022-06-23T00:13:25Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
13,escherichia_coli,ID_692475,2014-05-19T17:28:09Z,clinical,USA: Boston,ABSCESS,,
1504,escherichia_coli,ID_23869725,2022-06-22T18:26:07Z,clinical,USA: District of Columbia,wound,Phoenix,CLSI
635,escherichia_coli,ID_15672315,2020-11-24T00:30:06Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
91,escherichia_coli,ID_12925825,2020-04-20T16:16:41Z,clinical,USA:Cincinnati,urine,,CLSI
1505,escherichia_coli,ID_23869745,2022-06-22T18:26:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2406,escherichia_coli,ID_23891485,2022-06-23T01:19:27Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2214,escherichia_coli,ID_23885645,2022-06-23T00:36:15Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1743,escherichia_coli,ID_23876045,2022-06-22T23:12:41Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1580,escherichia_coli,ID_23871245,2022-06-22T18:38:52Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1005,escherichia_coli,ID_23858265,2022-06-22T16:46:32Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2256,escherichia_coli,ID_23886495,2022-06-23T00:42:25Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
916,escherichia_coli,ID_2968715,2018-03-05T09:38:06Z,clinical,,,,CLSI
794,escherichia_coli,ID_32331155,2024-02-16T20:26:19Z,clinical,USA:Boston,urine,Vitek,CLSI
1649,escherichia_coli,ID_23872635,2022-06-22T18:50:26Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1711,escherichia_coli,ID_23875405,2022-06-22T23:09:19Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
826,escherichia_coli,ID_32329935,2024-02-05T20:15:30Z,clinical,USA:Boston,urine,Vitek,CLSI
1902,escherichia_coli,ID_23879245,2022-06-22T23:42:04Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2676,escherichia_coli,ID_25580985,2022-10-17T15:24:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1966,escherichia_coli,ID_23880525,2022-06-22T23:51:25Z,clinical,USA: District of Columbia,other,Phoenix,CLSI
1986,escherichia_coli,ID_23880905,2022-06-22T23:53:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
559,escherichia_coli,ID_4566665,2019-07-12T10:50:41Z,clinical,"USA: Rochester, NY",sepsis,,CLSI
2871,escherichia_coli,ID_25787555,2022-10-21T16:05:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1958,escherichia_coli,ID_23880365,2022-06-22T23:49:44Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1165,escherichia_coli,ID_23861505,2022-06-22T17:09:33Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1064,escherichia_coli,ID_23859445,2022-06-22T16:55:30Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2894,escherichia_coli,ID_25788315,2022-10-21T16:17:11Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
793,escherichia_coli,ID_33200495,2024-02-18T23:57:01Z,clinical,USA:Boston,urine,Vitek,CLSI
746,escherichia_coli,ID_32336195,2024-02-05T22:09:53Z,clinical,USA:Boston,urine,Vitek,CLSI
2995,escherichia_coli,ID_15511245,2016-05-31T00:14:19Z,clinical,USA:Boston,blood,Vitek,CLSI
1183,escherichia_coli,ID_23861905,2022-06-22T17:12:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2749,escherichia_coli,ID_25784315,2022-10-21T15:02:20Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
800,escherichia_coli,ID_32330955,2024-02-16T20:26:19Z,clinical,USA:Boston,urine,Vitek,CLSI
2477,escherichia_coli,ID_23894505,2022-06-23T03:04:26Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
930,escherichia_coli,ID_3075555,2018-05-17T17:56:12Z,clinical,,,,CLSI
2264,escherichia_coli,ID_23886665,2022-06-23T00:43:18Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1720,escherichia_coli,ID_23875585,2022-06-22T23:09:53Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1995,escherichia_coli,ID_23881085,2022-06-23T00:01:51Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1381,escherichia_coli,ID_23867215,2022-06-22T18:03:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
655,escherichia_coli,ID_15673295,2020-11-24T00:47:22Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
965,escherichia_coli,ID_23857445,2022-06-22T16:41:31Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2093,escherichia_coli,ID_23883135,2022-06-23T00:16:34Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1195,escherichia_coli,ID_23862145,2022-06-22T17:14:25Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2535,escherichia_coli,ID_23895755,2022-06-23T03:20:19Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2961,escherichia_coli,ID_25789675,2022-10-21T16:54:20Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2139,escherichia_coli,ID_23884075,2022-06-23T00:23:18Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1913,escherichia_coli,ID_23879445,2022-06-22T23:43:17Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
187,escherichia_coli,ID_25828995,2022-10-24T23:37:45Z,environmental/other,Netherlands,retail chicken,Sensititre,EUCAST
392,escherichia_coli,ID_32335495,2024-02-06T16:14:35Z,clinical,USA:Boston,blood,Vitek,CLSI
2400,escherichia_coli,ID_23891355,2022-06-23T01:18:53Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2496,escherichia_coli,ID_23894895,2022-06-23T03:07:27Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2505,escherichia_coli,ID_23895145,2022-06-23T03:16:26Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
713,escherichia_coli,ID_32338475,2024-02-18T14:04:49Z,clinical,USA:Boston,urine,Vitek,CLSI
2536,escherichia_coli,ID_23895775,2022-06-23T03:20:25Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1245,escherichia_coli,ID_23863145,2022-06-22T17:21:19Z,clinical,USA: District of Columbia,blood,Phoenix,CLSI
2957,escherichia_coli,ID_25789595,2022-10-21T16:52:22Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
433,escherichia_coli,ID_32329335,2024-02-06T18:05:26Z,clinical,USA:Boston,Abdominal abscess,Vitek,CLSI
2960,escherichia_coli,ID_25789655,2022-10-21T16:54:11Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
302,escherichia_coli,ID_25831995,2022-10-24T23:59:15Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
2284,escherichia_coli,ID_23887085,2022-06-23T00:46:57Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2584,escherichia_coli,ID_24165785,2022-07-06T07:08:03Z,clinical,USA: District of Columbia,wound,Phoenix,CLSI
2763,escherichia_coli,ID_25784965,2022-10-21T15:09:40Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1754,escherichia_coli,ID_23876255,2022-06-22T23:18:02Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2045,escherichia_coli,ID_23882095,2022-06-23T00:08:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
697,escherichia_coli,ID_15675075,2020-11-24T01:14:23Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
1927,escherichia_coli,ID_23879745,2022-06-22T23:45:43Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
314,escherichia_coli,ID_25832275,2022-10-25T00:01:27Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
279,escherichia_coli,ID_25831395,2022-10-24T23:54:12Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
139,escherichia_coli,ID_25827975,2022-10-24T23:28:36Z,environmental/other,Netherlands,retail chicken,Sensititre,EUCAST
1809,escherichia_coli,ID_23877355,2022-06-22T23:25:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2717,escherichia_coli,ID_25783635,2022-10-21T14:46:11Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2853,escherichia_coli,ID_25786915,2022-10-21T15:55:21Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
707,escherichia_coli,ID_15675985,2020-11-24T01:28:12Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
2425,escherichia_coli,ID_23891855,2022-06-23T01:22:35Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2968,escherichia_coli,ID_25789815,2022-10-21T16:58:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
700,escherichia_coli,ID_15675335,2020-11-24T01:18:14Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
1318,escherichia_coli,ID_23865875,2022-06-22T17:48:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1840,escherichia_coli,ID_23877985,2022-06-22T23:33:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
744,escherichia_coli,ID_32336245,2024-02-07T08:06:36Z,clinical,USA:Boston,urine,Vitek,CLSI
1391,escherichia_coli,ID_23867415,2022-06-22T18:04:54Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
253,escherichia_coli,ID_25830725,2022-10-24T23:49:43Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
499,escherichia_coli,ID_12432695,2017-08-07T14:40:33Z,clinical,USA:Boston,urine,Vitek,CLSI
867,escherichia_coli,ID_32182065,2024-02-06T14:06:52Z,clinical,USA:Boston,urine,Vitek,CLSI
2765,escherichia_coli,ID_25785075,2022-10-21T15:11:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1611,escherichia_coli,ID_23871865,2022-06-22T18:44:00Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
595,escherichia_coli,ID_15671495,2020-11-24T00:16:06Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
1043,escherichia_coli,ID_23859025,2022-06-22T16:51:42Z,clinical,USA: District of Columbia,wound,Phoenix,CLSI
2817,escherichia_coli,ID_25786185,2022-10-21T15:37:11Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1208,escherichia_coli,ID_23862405,2022-06-22T17:15:31Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1223,escherichia_coli,ID_23862705,2022-06-22T17:18:11Z,clinical,USA: District of Columbia,blood,Phoenix,CLSI
971,escherichia_coli,ID_23857565,2022-06-22T16:42:04Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2483,escherichia_coli,ID_23894645,2022-06-23T03:05:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1151,escherichia_coli,ID_23861225,2022-06-22T17:07:13Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1322,escherichia_coli,ID_23865975,2022-06-22T17:48:35Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1051,escherichia_coli,ID_23859185,2022-06-22T16:53:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2376,escherichia_coli,ID_23890745,2022-06-23T01:11:19Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2516,escherichia_coli,ID_23895375,2022-06-23T03:17:34Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
366,escherichia_coli,ID_25833655,2022-10-25T00:10:42Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
1160,escherichia_coli,ID_23861405,2022-06-22T17:09:02Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2738,escherichia_coli,ID_25784075,2022-10-21T14:57:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1954,escherichia_coli,ID_23880285,2022-06-22T23:49:27Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
896,escherichia_coli,ID_38083455,2024-04-11T13:50:11Z,clinical,USA:Boston,urine,Vitek,CLSI
685,escherichia_coli,ID_15674515,2020-11-24T01:06:19Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
2066,escherichia_coli,ID_23882565,2022-06-23T00:11:17Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
732,escherichia_coli,ID_32337055,2024-02-04T23:04:14Z,clinical,USA:Boston,urine,Vitek,CLSI
1606,escherichia_coli,ID_23871765,2022-06-22T18:43:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1998,escherichia_coli,ID_23881165,2022-06-23T00:02:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
493,escherichia_coli,ID_12442345,2017-07-07T11:45:08Z,clinical,USA:Boston,urine,Vitek,CLSI
359,escherichia_coli,ID_25833485,2022-10-25T00:10:01Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
923,escherichia_coli,ID_3073835,2018-04-30T09:13:09Z,clinical,,,,CLSI
701,escherichia_coli,ID_15675445,2020-11-24T01:20:20Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
3020,escherichia_coli,ID_2796445,2017-11-27T08:55:04Z,clinical,,,,CLSI
1708,escherichia_coli,ID_23875335,2022-06-22T23:09:02Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
419,escherichia_coli,ID_32331195,2024-02-07T09:57:30Z,clinical,USA:Boston,Gall bladder,Vitek,CLSI
1747,escherichia_coli,ID_23876125,2022-06-22T23:13:34Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
177,escherichia_coli,ID_25828795,2022-10-24T23:35:08Z,environmental/other,Netherlands,retail beef,Sensititre,EUCAST
2760,escherichia_coli,ID_25784785,2022-10-21T15:08:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1987,escherichia_coli,ID_23880945,2022-06-22T23:54:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2931,escherichia_coli,ID_25789055,2022-10-21T16:39:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1641,escherichia_coli,ID_23872485,2022-06-22T18:49:45Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
938,escherichia_coli,ID_23856905,2022-06-22T16:37:53Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2869,escherichia_coli,ID_25787425,2022-10-21T16:04:11Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
661,escherichia_coli,ID_15673775,2020-11-24T00:54:06Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
2313,escherichia_coli,ID_23889485,2022-06-23T01:03:25Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1589,escherichia_coli,ID_23871425,2022-06-22T18:40:56Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2098,escherichia_coli,ID_23883245,2022-06-23T00:17:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1662,escherichia_coli,ID_23874405,2022-06-22T23:02:28Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2198,escherichia_coli,ID_23885325,2022-06-23T00:34:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2607,escherichia_coli,ID_24166245,2022-07-06T07:11:29Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2146,escherichia_coli,ID_23884245,2022-06-23T00:24:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2838,escherichia_coli,ID_25786605,2022-10-21T15:47:20Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2668,escherichia_coli,ID_25580825,2022-10-17T16:52:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2405,escherichia_coli,ID_23891455,2022-06-23T01:19:18Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
892,escherichia_coli,ID_36668995,2024-02-15T20:09:49Z,clinical,USA:Boston,Urinary tract infection,Vitek,CLSI
1643,escherichia_coli,ID_23872515,2022-06-22T18:50:01Z,clinical,USA: District of Columbia,blood,Phoenix,CLSI
1296,escherichia_coli,ID_23865415,2022-06-22T17:39:46Z,clinical,USA: District of Columbia,wound,Phoenix,CLSI
2266,escherichia_coli,ID_23886685,2022-06-23T00:43:35Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2203,escherichia_coli,ID_23885445,2022-06-23T00:34:50Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2773,escherichia_coli,ID_25785305,2022-10-21T15:15:11Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
330,escherichia_coli,ID_25832675,2022-10-25T00:04:27Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
1728,escherichia_coli,ID_23875745,2022-06-22T23:11:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1029,escherichia_coli,ID_23858745,2022-06-22T16:49:53Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2530,escherichia_coli,ID_23895655,2022-06-23T03:19:50Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
557,escherichia_coli,ID_4567255,2019-07-12T10:50:40Z,clinical,"USA: Rochester, NY",urine,,CLSI
777,escherichia_coli,ID_32331975,2024-02-05T12:05:11Z,clinical,USA:Boston,urine,Vitek,CLSI
662,escherichia_coli,ID_15673815,2020-11-24T00:55:05Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
2029,escherichia_coli,ID_23881785,2022-06-23T00:06:52Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
363,escherichia_coli,ID_25833555,2022-10-25T00:10:21Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
1215,escherichia_coli,ID_23862545,2022-06-22T17:16:22Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
791,escherichia_coli,ID_32331235,2024-02-06T10:06:52Z,clinical,USA:Boston,urine,Vitek,CLSI
416,escherichia_coli,ID_32331555,2024-02-06T18:05:26Z,clinical,USA:Boston,blood,Vitek,CLSI
84,escherichia_coli,ID_3031795,2018-04-03T13:37:30Z,clinical,USA:Boston,urine,Vitek,CLSI
987,escherichia_coli,ID_23857905,2022-06-22T16:44:32Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2449,escherichia_coli,ID_23892345,2022-06-23T01:26:07Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2455,escherichia_coli,ID_23892465,2022-06-23T01:26:48Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1279,escherichia_coli,ID_23863825,2022-06-22T17:25:16Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
202,escherichia_coli,ID_25829335,2022-10-24T23:39:23Z,environmental/other,Netherlands,retail veal,Sensititre,EUCAST
1177,escherichia_coli,ID_23861765,2022-06-22T17:11:19Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1441,escherichia_coli,ID_23868435,2022-06-22T18:13:37Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
101,escherichia_coli,ID_22694405,2022-03-24T23:03:49Z,clinical,Brazil: Sao Paulo,rectal swab,,EUCAST
2844,escherichia_coli,ID_25786735,2022-10-21T15:51:13Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2072,escherichia_coli,ID_23882705,2022-06-23T00:12:53Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2398,escherichia_coli,ID_23891325,2022-06-23T01:18:36Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1813,escherichia_coli,ID_23877445,2022-06-22T23:26:28Z,clinical,USA: District of Columbia,blood,Phoenix,CLSI
197,escherichia_coli,ID_25829235,2022-10-24T23:38:48Z,environmental/other,Netherlands,retail veal,Sensititre,EUCAST
1460,escherichia_coli,ID_23868815,2022-06-22T18:18:00Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
994,escherichia_coli,ID_23858045,2022-06-22T16:45:26Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2740,escherichia_coli,ID_25784115,2022-10-21T14:57:30Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1493,escherichia_coli,ID_23869505,2022-06-22T18:23:48Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2768,escherichia_coli,ID_25785205,2022-10-21T15:12:21Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
686,escherichia_coli,ID_15674555,2020-11-24T01:06:27Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
1558,escherichia_coli,ID_23870815,2022-06-22T18:35:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2870,escherichia_coli,ID_25787495,2022-10-21T16:04:20Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
860,escherichia_coli,ID_32123195,2024-02-18T05:11:18Z,clinical,USA:Boston,urine,Vitek,CLSI
1976,escherichia_coli,ID_23880725,2022-06-22T23:52:27Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1473,escherichia_coli,ID_23869085,2022-06-22T18:19:57Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
42,escherichia_coli,ID_12767495,2016-01-02T12:22:35Z,clinical,USA:Boston,urine,Vitek,CLSI
1826,escherichia_coli,ID_23877705,2022-06-22T23:27:43Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1652,escherichia_coli,ID_23872705,2022-06-22T18:50:59Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1000,escherichia_coli,ID_23858165,2022-06-22T16:45:57Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2097,escherichia_coli,ID_23883215,2022-06-23T00:17:06Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1513,escherichia_coli,ID_23869875,2022-06-22T18:27:37Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1031,escherichia_coli,ID_23858765,2022-06-22T16:50:20Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
3001,escherichia_coli,ID_1874785,2016-11-10T13:03:45Z,clinical,,,,CLSI
745,escherichia_coli,ID_32336225,2024-02-05T20:15:29Z,clinical,USA:Boston,urine,Vitek,CLSI
384,escherichia_coli,ID_32338015,2024-02-17T18:06:28Z,clinical,USA:Boston,Vaginal wound,Vitek,CLSI
3022,escherichia_coli,ID_2948655,2018-02-26T19:38:06Z,clinical,,,,CLSI
1034,escherichia_coli,ID_23858845,2022-06-22T16:50:48Z,clinical,USA: District of Columbia,other,Phoenix,CLSI
2613,escherichia_coli,ID_25579165,2022-10-17T16:35:14Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1350,escherichia_coli,ID_23866585,2022-06-22T17:54:06Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1495,escherichia_coli,ID_23869545,2022-06-22T18:24:24Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1869,escherichia_coli,ID_23878585,2022-06-22T23:36:50Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1657,escherichia_coli,ID_23872805,2022-06-22T18:51:30Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1590,escherichia_coli,ID_23871445,2022-06-22T18:41:05Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
918,escherichia_coli,ID_2999075,2018-03-14T18:18:45Z,clinical,,,,CLSI
1955,escherichia_coli,ID_23880305,2022-06-22T23:49:33Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1887,escherichia_coli,ID_23878945,2022-06-22T23:39:39Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
3013,escherichia_coli,ID_2192295,2017-06-13T13:52:05Z,clinical,,,,CLSI
3006,escherichia_coli,ID_2056635,2017-03-21T13:02:08Z,clinical,,,,CLSI
402,escherichia_coli,ID_32333695,2024-02-19T12:04:23Z,clinical,USA:Boston,Labial abscess,Vitek,CLSI
1916,escherichia_coli,ID_23879525,2022-06-22T23:43:41Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2099,escherichia_coli,ID_23883255,2022-06-23T00:17:14Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1392,escherichia_coli,ID_23867435,2022-06-22T18:05:02Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
111,escherichia_coli,ID_25827225,2022-10-24T23:23:11Z,environmental/other,Netherlands,retail chicken,Sensititre,EUCAST
2141,escherichia_coli,ID_23884125,2022-06-23T00:23:27Z,clinical,USA: District of Columbia,other,Phoenix,CLSI
2718,escherichia_coli,ID_25783655,2022-10-21T14:46:20Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2952,escherichia_coli,ID_25789495,2022-10-21T16:50:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1572,escherichia_coli,ID_23871085,2022-06-22T18:37:34Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
83,escherichia_coli,ID_3031735,2018-04-03T13:23:09Z,clinical,USA:Boston,abdominal,Vitek,CLSI
2966,escherichia_coli,ID_25789775,2022-10-21T16:57:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1045,escherichia_coli,ID_23859065,2022-06-22T16:52:01Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2348,escherichia_coli,ID_23890185,2022-06-23T01:07:26Z,clinical,USA: District of Columbia,blood,Phoenix,CLSI
1553,escherichia_coli,ID_23870695,2022-06-22T18:34:26Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
90,escherichia_coli,ID_12923065,2020-04-20T16:16:40Z,clinical,USA:Cincinnati,urine,,CLSI
2468,escherichia_coli,ID_23894325,2022-06-23T03:02:33Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
297,escherichia_coli,ID_25831825,2022-10-24T23:58:18Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
591,escherichia_coli,ID_15671265,2020-11-24T00:12:21Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
601,escherichia_coli,ID_15671605,2020-11-24T00:16:50Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
2351,escherichia_coli,ID_23890235,2022-06-23T01:08:26Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
240,escherichia_coli,ID_25830435,2022-10-24T23:47:44Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
2424,escherichia_coli,ID_23891845,2022-06-23T01:22:26Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
910,escherichia_coli,ID_38510625,2024-04-26T14:53:47Z,clinical,USA:Boston,urine,Vitek,CLSI
1940,escherichia_coli,ID_23880005,2022-06-22T23:46:56Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
